병원명,시도,시군구,읍면동
라온치과병원,경상북도,안동시,옥동
로이스제일치과병원,경상북도,안동시,송현동
의료법인여연의료재단인동엘리트치과병원,경상북도,구미시,진평동
가이드치과병원,경상북도,구미시,구평동
구미예치과병원,경북,구미시,진평동
구미미르치과병원,경상북도,구미시,형곡동
경산라온치과병원,경상북도,경산시,중방동
경산미르치과병원,경상북도,경산시,대평동
진주미르치과병원,경상남도,진주시,칠암동
365우리들치과병원,경상남도,진주시,상대동
삼계뉴욕치과병원,경상남도,김해시,가야로
우가주치과병원,경상남도,김해시,외동
부원뉴욕치과병원,경상남도,김해시,가락로
뉴욕치과병원,경상남도,김해시,내외중앙로
자기치아살리기365일야간드림플란트치과병원,경상남도,김해시,김해대로
장유뉴욕치과병원,경상남도,김해시,대청동
고운가이드치과병원,경상남도,거제시,거제중앙로
메디칼치과병원,경상남도,거제시,거제중앙로
미르치과병원,경상남도,거제시,거제중앙로
더이로운치과병원,경상남도,양산시,북부동
양산부산대학교치과병원,경상남도,양산시,물금읍
유어스치과병원,경상남도,양산시,양산역로
동탄센트럴치과병원,경기도,화성시,동탄구
스마일디자인치과병원,경기도,광주시,광주대로
서울수려한치과병원,경기도,양주시,옥정동
더앞선치과병원,경상남도,창원시,성산구
램브란트치과병원,창원시,상남동,73-3
라온치과병원,경상남도,창원시,마산회원구
온치과병원,경상남도,창원시,진해구
연세모먼트치과병원,경상남도,창원시,진해구
진해라온치과병원,경상남도,창원시,진해구
고운치과병원,경상남도,창원시,성산구
화인치과병원,경상남도,창원시,성산구
의료법인 이손의료재단 이손치과병원,충청남도,당진시,읍내동
단국대학교 치과대학 세종치과병원,세종특별자치시,어진동,609
참조은치과병원,충청북도,청주시,서원구
서울좋은치과병원,충청북도,청주시,흥덕구
그랜드치과병원,제주특별자치도,제주시,이도일동
서울리더스치과의원,서울특별시,종로구,자하문로2길
스템스치과의원,서울특별시,종로구,평창12길
박강석치과의원,서울특별시,종로구,종로3가
하나로치과의원,서울특별시,종로구,청진동
종로원치과의원,서울특별시,종로구,수표로
서울언제나치과의원,서울특별시,종로구,숭인동
평화치과의원,서울특별시,종로구,숭인동
장주혜치과의원,서울특별시,종로구,새문안로5길
연세세브란스치과의원,서울특별시,종로구,종로5가
세종치과의원,서울특별시,종로구,신문로1가
종로탑치과의원,서울특별시,종로구,종로4가
동대문경로치과의원,서울특별시,종로구,종로
입안에행복치과의원,서울특별시,종로구,율곡로
이편한치과의원,서울특별시,종로구,종로
서울예다운치과의원,서울특별시,종로구,성균관로
광화문치과의원,서울특별시,종로구,새문안로
사과나무치과의원,서울특별시,종로구,지봉로
나온치과의원,서울특별시,종로구,종로35길
메이플치과의원,서울특별시,종로구,관훈동
틀 치과의원,서울특별시,종로구,경운동
연세턱별한구강내과치과의원,서울특별시,종로구,서린동
서울새봄플란트치과의원,서울특별시,종로구,세종로
광화문연세치과의원,서울특별시,종로구,내수동
365서울치과의원,서울특별시,종로구,종로
동묘백세치과의원,서울특별시,종로구,종로
연세서촌치과의원,서울특별시,종로구,누하동
평화로운치과의원,서울특별시,종로구,당주동
동서치과의원,서울특별시,종로구,종로5가
서울사랑니치과의원,서울특별시,종로구,종로1가
연세유세브란스치과의원,서울특별시,종로구,숭인동
종로본치과의원,서울특별시,종로구,낙원동
뉴욕S치과의원,서울특별시,종로구,수송동
종로30분치과의원,서울특별시,종로구,종로
서울바로치과의원,서울특별시,종로구,종로6가
종로실버치과의원,서울특별시,종로구,종로4가
서울에이스치과의원,서울특별시,종로구,종로4가
웅플란트치과의원,서울특별시,종로구,종로
이영관치과의원,서울특별시,종로구,종로5가
장갑성애플치과의원,서울특별시,종로구,돈화문로
방태현치과의원,서울특별시,종로구,자하문로
본치과의원,서울특별시,종로구,대학로12길
로뎀치과의원,서울특별시,종로구,삼일대로
벨치과의원,서울특별시,종로구,종로2가
인치과의원,서울특별시,종로구,종로4가
좋은미소치과의원,서울특별시,종로구,종로
정극모치과의원,서울특별시,종로구,종로
웃는치과의원,서울특별시,종로구,당주동
김정우치과의원,서울특별시,종로구,삼봉로
미시간치과의원,서울특별시,종로구,종로
연세해맑은치과의원,서울특별시,종로구,대학로
보스톤치과의원,서울특별시,종로구,청계천로
세인치과의원,서울특별시,종로구,종로39길
서울새린치과의원,서울특별시,종로구,종로
서울남정치과의원,서울특별시,종로구,창경궁로
일등플란트치과의원,서울특별시,종로구,종로
강한치과의원,서울특별시,종로구,창신동
최재성치과의원,서울특별시,종로구,삼봉로
서린연세치과의원,서울특별시,종로구,종로
롯데웰치과의원,서울특별시,종로구,종로
메르덴치과의원,서울특별시,종로구,종로
안국수치과의원,서울특별시,종로구,계동길
종로밀레니엄치과의원,서울특별시,종로구,종로2가
조은치과의원,서울특별시,종로구,종로
박재찬치과의원,서울특별시,종로구,성균관로
오복플란트치과의원,서울특별시,종로구,종로3가
다인치과의원,서울특별시,종로구,숭인동
서울도담치과의원,서울특별시,종로구,종로14길
궁플란트치과의원,서울특별시,종로구,삼봉로
향기로운서울훈치과의원,서울특별시,종로구,통일로
이플러스치과의원,서울특별시,종로구,세종대로23길
사단법인 국제굿피플나눔본부 반석샘물치과의원,서울특별시,종로구,종로
중앙치과의원,서울특별시,종로구,인사동
정치과의원,서울특별시,종로구,종로32길
김경진치과의원,서울특별시,종로구,종로
기분좋은치과의원,서울특별시,종로구,대학로
백상치과의원,서울특별시,종로구,내수동
이플란치과의원,서울특별시,종로구,사직로8길
광화문믿음치과의원,서울특별시,종로구,새문안로5길
메이트치과의원,서울특별시,종로구,종로5길
뿌리치과의원,서울특별시,종로구,종로
라파(Rapha)연세치과의원,서울특별시,종로구,사직로
원치과의원,서울특별시,종로구,창신동
부암치과의원,서울특별시,종로구,자하문로
서울제이치과의원,서울특별시,종로구,동숭동
안박치과의원,서울특별시,종로구,종로35길
김성조치과의원,서울특별시,종로구,대학로
클리오치과의원,서울특별시,종로구,사직로
고은이치과의원,서울특별시,종로구,지봉로
하늘치과의원,서울특별시,종로구,자하문로
이루미치과의원,서울특별시,종로구,종로
유선재치과의원,서울특별시,종로구,동호로
평창다인치과의원,서울특별시,종로구,평창문화로
바른이치과의원,서울특별시,종로구,율곡로
서울미소엔치과의원,서울특별시,종로구,사직로
서울훈치과의원,서울특별시,종로구,종로
이물비치과의료생활협동조합 이물비치과의원,서울특별시,종로구,동숭1길
새서울치과의원,서울특별시,종로구,종로
광화문광장치과의원,서울특별시,종로구,적선동
혜화수치과의원,서울특별시,종로구,창경궁로
송치과의원,서울특별시,종로구,종로39길
서울미유치과의원,서울특별시,종로구,종로12길
더스퀘어치과의원,서울특별시,종로구,청진동
미플란트치과의원,서울특별시,종로구,종로
연세리치과의원,서울특별시,종로구,통일로
서울플란트치과의원,서울특별시,종로구,수표로
연세그랑스마일치주과치과의원,서울특별시,종로구,종로3길
평생주치의 딱 좋은 치과의원,서울특별시,종로구,평동
동묘대찬치과의원,서울특별시,종로구,지봉로
서울본치과의원,서울특별시,종로구,사직로8길
지앤미치과의원,서울특별시,종로구,청계천로
동대문치과의원,서울특별시,종로구,종로
손윤희치과의원,서울특별시,종로구,삼일대로
연세정인치과의원,서울특별시,종로구,신문로1가
동대문미소치과의원,서울특별시,종로구,종로
서울S치과의원,서울특별시,종로구,창경궁로
참빛치과의원,서울특별시,종로구,수송동
미유치과의원,서울특별시,종로구,통일로
연세자연치과의원,서울특별시,종로구,세종로
연세이엔오치과의원,서울특별시,종로구,율곡로
연세학치과의원,서울특별시,종로구,종로
선치과의원,서울특별시,종로구,대학로
양인서치과의원,서울특별시,종로구,내자동
최치원치과의원,서울특별시,종로구,명륜길
연세김치과의원,서울특별시,종로구,숭인동길
신현수치과의원,서울특별시,종로구,새문안로5길
김현치과의원,서울특별시,종로구,종로
옹상욱치과의원,서울특별시,종로구,평창문화로
광화문더블유치과의원,서울특별시,종로구,삼봉로
세실치과의원,서울특별시,종로구,통일로
문준식치과의원,서울특별시,종로구,청계천로
강규욱치과의원,서울특별시,종로구,혜화로
서울봄빛치과의원,서울특별시,종로구,혜화로
서울청춘치과의원,서울특별시,종로구,대학로10길
연세마이덴치과의원,서울특별시,종로구,청진동
서울예안치과의원,서울특별시,종로구,새문안로
참좋은치과의원,서울특별시,종로구,창신동
연세고운미소치과의원,서울특별시,종로구,종로
런던치과의원,서울특별시,종로구,종로5길
조종만치과의원,서울특별시,종로구,새문안로5길
서울더나은치과의원,서울특별시,종로구,구기동
김치과의원,서울특별시,종로구,수표로
신세계치과의원,서울특별시,종로구,송월길
약수샘치과의원,서울특별시,중구,신당동
충무로치과의원,서울특별시,중구,충무로
서울아이비치과의원,서울특별시,중구,방산동
본치과의원,서울특별시,중구,동호로
정훈치과의원,서울특별시,중구,장교동
유림치과의원,서울특별시,중구,을지로
엠와이치과의원,서울특별시,중구,충무로2가
루덴치과의원,서울특별시,중구,명동1가
을지연세치과의원,서울특별시,중구,을지로
브라이트치과의원,서울특별시,중구,중림동
닥터노아치과의원,서울특별시,중구,서소문동
행복한예인치과의원,서울특별시,중구,남대문로9길
소중한이치과의원,서울특별시,중구,순화동
유디남대문치과의원,서울특별시,중구,남창동
믿음치과의원,서울특별시,중구,퇴계로
서울연치과의원,서울특별시,중구,충정로1가
이오치과의원,서울특별시,중구,남대문로5가
청구치과의원,서울특별시,중구,신당동
광화문예치과의원,서울특별시,중구,무교동
서울보스톤치과의원,서울특별시,중구,필동1가
정치과의원(정두헌),서울특별시,중구,소공동
민일치과의원,서울특별시,중구,장충동1가
서울큰사랑치과의원,서울특별시,중구,신당동
연세치과의원,서울특별시,중구,다산로
소공치과의원,서울특별시,중구,남대문로7길
최웅대치과의원,서울특별시,중구,퇴계로
이플랜치과의원,서울특별시,중구,남산동1가
아이비치과의원,서울특별시,중구,무교동
제니스신성치과의원,서울특별시,중구,흥인동
안준상치과의원,서울특별시,중구,신당동
세연치과의원,서울특별시,중구,퇴계로27길
김성철치과의원,서울특별시,중구,통일로
황혜경치과의원,서울특별시,중구,삼각동
오치과의원,서울특별시,중구,중림동
한번에치과의원,서울특별시,중구,을지로2가
동평화치과의원,서울특별시,중구,마장로1가길
아산설치과의원,서울특별시,중구,퇴계로
을지서울치과의원,서울특별시,중구,을지로4가
하림치과의원,서울특별시,중구,서소문동
권오택치과의원,서울특별시,중구,을지로
연세돌담치과의원,서울특별시,중구,태평로2가
연세에스치과의원,서울특별시,중구,동호로
플러스원치과의원,서울특별시,중구,다산로
연세남대문치과의원,서울특별시,중구,퇴계로
미라인치과의원,서울특별시,중구,황학동
서울힐치과의원,서울특별시,중구,신당동
쌍용치과의원,서울특별시,중구,마른내로
남산타운윤치과의원,서울특별시,중구,신당동
남산타운서울치과의원,서울특별시,중구,다산로
서울라인치과의원,서울특별시,중구,남대문로
밸런스치과의원,서울특별시,중구,소공동
서울세연치과의원,서울특별시,중구,무교동
서울행복치과의원,서울특별시,중구,주교동
프레스치과의원,서울특별시,중구,세종대로
연세네이처치과의원,서울특별시,중구,서소문동
심상선독일치과의원,서울특별시,중구,남대문로3가
최앤이치과의원,서울특별시,중구,세종대로
이의홍치과의원,서울특별시,중구,을지로2가
민치과의원,서울특별시,중구,회현동1가
더드림치과의원,서울특별시,중구,황학동
명동콤비치과의원,서울특별시,중구,남대문로2가
이구치과의원,서울특별시,중구,서소문동
늘푸른치과의원,서울특별시,중구,봉래동1가
호현치과의원,서울특별시,중구,신당동
이앤이치과의원,서울특별시,중구,통일로4길
타워치과의원,서울특별시,중구,세종대로5길
메트로노치과의원,서울특별시,중구,을지로2가
베네치아치과의원,서울특별시,중구,장충단로
자작나무치과의원,서울특별시,중구,초동
명보치과의원,서울특별시,중구,초동
김기홍치과의원,서울특별시,중구,남대문로
에이피엠치과의원,서울특별시,중구,장충단로
하버디안치과의원,서울특별시,중구,세종대로
회현치과의원,서울특별시,중구,회현동1가
제일치과의원,서울특별시,중구,묵정동
덴타피아치과의원,서울특별시,중구,봉래동1가
나홍찬치과의원,서울특별시,중구,신당동
김의종치과의원,서울특별시,중구,신당동
강북센트럴치과의원,서울특별시,중구,무교로
아이플란트치과의원,서울특별시,중구,명동2가
서울홍치과의원,서울특별시,중구,황학동
센트럴치과의원,서울특별시,중구,신당동
넥스트치과의원,서울특별시,중구,남대문로7길
서울하이안치과의원,서울특별시,중구,신당동
이인환치과의원,서울특별시,중구,신당동
밀레니엄연세치과의원,서울특별시,중구,소공동
프라임치과의원,서울특별시,중구,신당동
시스템치과의원,서울특별시,중구,을지로2가
김용호치과의원,서울특별시,중구,다동
소중한이들을위한치과의원,서울특별시,중구,쌍림동
탄탄치과의원,서울특별시,중구,남대문로10길
서울헤아림치과의원,서울특별시,중구,황학동
소망치과의원,서울특별시,중구,퇴계로75길
사단법인)한국의료봉사회제생치과의원,서울특별시,중구,다산로
남도현프로덴탈치과의원,서울특별시,중구,서소문동
바른치과의원,서울특별시,중구,충무로3가
덴티스타치과의원,서울특별시,중구,명동길
심미치과의원,서울특별시,중구,신당동
센터치과의원,서울특별시,중구,남대문로5가
미소샘치과의원,서울특별시,중구,다산로
미소담치과의원,서울특별시,중구,세종대로9길
연치과의원,서울특별시,중구,저동1가
세브란스이치과의원,서울특별시,중구,동호로10길
미소치과의원,서울특별시,중구,필동2가
연세수치과의원,서울특별시,중구,북창동
신당성심치과의원,서울특별시,중구,다산로
프리미어중앙치과의원,서울특별시,중구,서소문로
서울역 허브치과의원,서울특별시,중구,봉래동1가
연세미소래치과의원,서울특별시,중구,명동길
연세건치과의원,서울특별시,중구,남대문로5가
찬스플란트치과의원,서울특별시,중구,남창동
서울킴스치과의원,서울특별시,중구,소공로
이사랑치과의원,서울특별시,중구,신당동
더블유(W)서울치과의원,서울특별시,중구,서소문로
연세윌치과의원,서울특별시,중구,세종대로
신당현대치과의원,서울특별시,중구,신당동
예손치과의원,서울특별시,중구,필동2가
수려한치과의원,서울특별시,중구,퇴계로
밝은미소치과의원,서울특별시,중구,다동
서울스타일치과의원,서울특별시,중구,황학동
광화문연치과의원,서울특별시,중구,태평로1가
김주관치과의원,서울특별시,중구,동호로
연세본치과의원,서울특별시,중구,을지로
조은수치과의원,서울특별시,중구,황학동
동방진치과의원,서울특별시,중구,황학동
예원치과의원,서울특별시,중구,필동3가
연세현치과의원,서울특별시,중구,무학동
장치과의원,서울특별시,중구,중림동
광화문선치과의원,서울특별시,중구,태평로1가
서울e조은치과의원,서울특별시,중구,다산로
연세미래치과의원,서울특별시,중구,서소문로
이잘하는치과의원,서울특별시,중구,신당동
뉴욕치과의원,서울특별시,중구,신당동
제일치과의원,서울특별시,중구,서소문동
동대문서울삼성치과의원,서울특별시,중구,을지로6가
서울우리원치과의원,서울특별시,중구,수표동
파인타워치과의원,서울특별시,중구,을지로2가
화이트플러스치과의원,서울특별시,중구,신당동
로이스명동치과의원,서울특별시,중구,회현동3가
레이킴치과의원,서울특별시,중구,쌍림동
연세미담치과의원,서울특별시,중구,중림동
화이트스마일치과의원,서울특별시,중구,황학동
예스치과의원,서울특별시,중구,흥인동
더하루치과의원,서울특별시,중구,을지로6가
서린치과의원,서울특별시,중구,무교동
시청서울구강내과치과의원,서울특별시,중구,무교동
365올케어치과의원,서울특별시,중구,신당동
내이로치과의원,서울특별시,중구,신당동
서울믿음치과의원,서울특별시,중구,남창동
이치과의원,서울특별시,중구,세종대로20길
서울미인치과의원,서울특별시,중구,저동1가
바른마음치과의원,서울특별시,중구,서소문동
세이지치과의원,서울특별시,중구,신당동
서대문리치치과의원,서울특별시,중구,순화동
최성제치과의원,서울특별시,중구,저동2가
백앤허치과의원,서울특별시,중구,충무로4가
연세이도치과의원,서울특별시,중구,신당동
라이즈치과의원,서울특별시,중구,서소문동
을지트윈치과의원,서울특별시,중구,을지로4가
서울닥터한치과의원,서울특별시,중구,신당동
민플란트치과의원,서울특별시,중구,신당동
연세예감치과의원,서울특별시,중구,태평로2가
뉴욕바른라인치과의원,서울특별시,중구,신당동
산치과의원,서울특별시,중구,다동
서울닥터박치과의원,서울특별시,중구,만리동2가
서울바움치과의원,서울특별시,중구,서소문동
이튼튼치과의원,서울특별시,중구,신당동
서울하늘에치과의원,서울특별시,중구,회현동1가
빛나는소금치과의원,서울특별시,중구,신당동
가디언즈치과의원,서울특별시,중구,충무로2가
반석치과보존과치과의원,서울특별시,중구,무교동
김영민치과의원,서울특별시,중구,신당동
연세센텀치과의원,서울특별시,중구,황학동
서울중부치과의원,서울특별시,중구,을지로4가
명동연세치과의원,서울특별시,중구,명동2가
바른영치과의원,서울특별시,중구,신당동
센터원서울치과의원,서울특별시,중구,수하동
봄치과의원,서울특별시,중구,묵정동
함사랑치과의원,서울특별시,중구,신당동
연세대학교 세브란스헬스체크업치과의원,서울특별시,중구,남대문로5가
우리모두들치과의원,서울특별시,용산구,한강로2가
연세밝은미소치과의원,서울특별시,용산구,한강로3가
이창우치과의원,서울특별시,용산구,63번지
보스톤치과의원,서울특별시,용산구,이촌동
조은플란트치과의원,서울특별시,용산구,갈월동
엠치과의원,서울특별시,용산구,한강로3가
글로벌치과의원,서울특별시,용산구,이태원동
써밋치과의원,서울특별시,용산구,한강로2가
요셉나눔재단법인 요셉치과의원,서울특별시,용산구,동자동
해밀턴치과의원,서울특별시,용산구,이태원동
최대균 남광호 치과의원,서울특별시,용산구,동자동
이엔치과의원,서울특별시,용산구,이태원로
유디남영치과의원,서울특별시,용산구,남영동
서울유엔치과의원,서울특별시,용산구,한남대로
서울이촌치과의원,서울특별시,용산구,이촌동
연세미소치과의원,서울특별시,용산구,원효로1가
국방치과의원,서울특별시,용산구,용산동3가
성대혁치과의원,서울특별시,용산구,이촌동
서울이노치과의원,서울특별시,용산구,동자동
시카고치과의원,서울특별시,용산구,한남동
내이치과의원,서울특별시,용산구,한강로2가
이삭치과의원,서울특별시,용산구,이촌동
김영주치과의원,서울특별시,용산구,이촌동
서울일미치과의원,서울특별시,용산구,한강대로
최석진치과의원,서울특별시,용산구,보광동
이한주치과의원,서울특별시,용산구,한강로3가
김성태치과의원,서울특별시,용산구,이촌1동
연세치과의원,서울특별시,용산구,이태원동
방선빈치과의원,서울특별시,용산구,원효로2가
세명치과의원,서울특별시,용산구,용산동2가
김성진치과의원,서울특별시,용산구,이촌로
조치과의원,서울특별시,용산구,용산동2가
연치과의원,서울특별시,용산구,원효로3가
서울준치과의원,서울특별시,용산구,용문동
서울엠치과의원,서울특별시,용산구,갈월동
더행복한치과의원,서울특별시,용산구,한강로2가
닥터고치과의원,서울특별시,용산구,갈월동
